row_number,wals_code,iso_code,glottocode,name,genus,family,macroarea,latitude,longitude
63,akk,akx,akak1252,Aka-Kede,Great Andamanese,Great Andamanese,Eurasia,12.75,92.75
64,akl,akl,akla1241,Aklanon,Greater Central Philippine,Austronesian,Papunesia,11.5833333333,122.333333333
65,akm,rmz,marm1234,Arakanese (Marma),Burmese-Lolo,Sino-Tibetan,Eurasia,21.5,92.5
66,akn,aka,akan1250,Akan,Kwa,Niger-Congo,Africa,6.5,-1.25
67,ako,acy,cypr1248,Arabic (Kormakiti),Semitic,Afro-Asiatic,Eurasia,35.25,33.5
68,akr,ari,arik1262,Arikara,Caddoan,Caddoan,North America,45.5,-100.5
69,akw,ake,akaw1239,Akawaio,Cariban,Cariban,South America,6.0,-59.5
70,ala,amp,alam1246,Alamblak,Sepik Hill,Sepik,Papunesia,-4.66666666667,143.333333333
71,alb,aln,tosk1239,Albanian,Albanian,Indo-European,Eurasia,41.0,20.0
72,alc,,alle1238,Allentiac,Huarpe,Huarpe,South America,-31.0,-68.0
73,ald,ald,alla1248,Alladian,Kwa,Niger-Congo,Africa,5.16666666667,-4.33333333333
74,ale,ale,aleu1260,Aleut,Aleut,Eskimo-Aleut,North America,54.0,-166.0
75,alg,alq,algo1255,Algonquin,Algonquian,Algic,North America,46.0,-77.0
76,alk,apr,arop1243,Arop-Lokep,Oceanic,Austronesian,Papunesia,-5.38333333333,147.05
77,all,nrz,lala1268,Ala'ala,Oceanic,Austronesian,Papunesia,-8.91666666667,146.75
78,aln,alp,alun1238,Alune,Central Malayo-Polynesian,Austronesian,Papunesia,-3.0,128.333333333
79,als,aes,alse1251,Alsea,Alsea,Oregon Coast,North America,44.6666666667,-123.916666667
80,alt,gsw,swis1247,Alsatian,Germanic,Indo-European,Eurasia,48.5,7.5
81,alu,alr,alut1245,Alutor,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,61.0,165.0
82,alw,alh,alaw1244,Alawa,Alawa,Mangarrayi-Maran,Australia,-15.1666666667,134.25
83,alx,btz,bata1292,Alas,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,3.66666666667,97.8333333333
84,aly,aly,alya1239,Alyawarra,Central Pama-Nyungan,Pama-Nyungan,Australia,-22.5,135.0
85,ama,aie,amar1272,Amara,Oceanic,Austronesian,Papunesia,-5.66666666667,148.5
86,amb,abt,ambu1247,Ambulas,Middle Sepik,Sepik,Papunesia,-3.83333333333,143.0
87,amc,amc,amah1246,Amahuaca,Panoan,Panoan,South America,-10.5,-72.5
88,amd,adx,amdo1237,Amdo,Bodic,Sino-Tibetan,Eurasia,35.0,100.0
89,ame,aey,amel1241,Amele,Madang,Trans-New Guinea,Papunesia,-5.25,145.583333333
90,amh,amh,amha1245,Amharic,Semitic,Afro-Asiatic,Africa,10.0,38.0
91,ami,ami,amis1246,Amis,East Formosan,Austronesian,Papunesia,23.3333333333,121.333333333
92,amk,amr,amar1274,Amarakaeri,Harakmbet,Harakmbet,South America,-12.5,-70.5
93,aml,omb,east2443,Ambae (Lolovoli Northeast),Oceanic,Austronesian,Papunesia,-15.4166666667,167.883333333
94,amm,amm,amap1240,Ama,Left May,Left May,Papunesia,-4.21666666667,141.616666667
95,amn,amn,aman1265,Amanab,Border,Border,Papunesia,-3.58333333333,141.25
96,amo,amo,amoo1242,Amo,Kainji,Niger-Congo,Africa,10.3333333333,8.66666666667
97,amp,aer,east2379,Arrernte (Mparntwe),Central Pama-Nyungan,Pama-Nyungan,Australia,-24.0,136.0
98,amq,amk,amba1265,Ambai,South Halmahera - West New Guinea,Austronesian,Papunesia,-1.83333333333,136.5
99,amr,ary,moro1292,Arabic (Moroccan),Semitic,Afro-Asiatic,Africa,34.0,-6.0
100,ams,arb,stan1318,Arabic (Modern Standard),Semitic,Afro-Asiatic,Eurasia,25.0,42.0
101,amt,adx,amdo1237,Amdo (Themchen),Bodic,Sino-Tibetan,Eurasia,38.0,98.0
102,amu,ame,yane1238,Amuesha,Yanesha',Arawakan,South America,-10.5,-75.4166666667
103,amx,imi,anam1248,Anamuxra,Madang,Trans-New Guinea,Papunesia,-4.66666666667,145.0
104,amz,amu,guer1243,Amuzgo,Amuzgoan,Oto-Manguean,North America,16.8333333333,-98.0
105,ana,aro,arao1248,Araona,Tacanan,Tacanan,South America,-12.3333333333,-67.75
106,anc,anc,ngas1240,Angas,West Chadic,Afro-Asiatic,Africa,9.5,9.5
